id,question1,question2,is_duplicate,CosineSimilarity,JaccardSimilarity,Levenshtein,DiceSimilarity
108001,apply student visa canada 9-year gap studies ?,decided take 'gap ' year studying various competitive exams ( india ) . also plan applying universities us next admission season ( could n't year ) . questions : gap year affect application ?,0,0.31433952747617855,0.08333333333333337,157,0.723404255319149
108002,cure muscular dystrophy ?,"cures muscular dystrophy ? , ?",1,0.0,0.0,5,0.9696969696969697
108003,department better career automobile industry mechanical engineer : production quality ?,"field better mechanical engineer , production , quality design ?",0,0.0,0.0,46,0.9333333333333333
108004,haredi & many modern orthodox jews reject open orthodoxy movement ?,`` urinary antiseptic '' `` urinary antiseptic '' ?,0,0.0,0.0,55,0.6666666666666666
108005,best way interesting ?,become interesting ?,1,0.0,0.0,6,0.7692307692307693
108006,fall love ?,people fall love ?,1,0.0,0.0,7,0.9411764705882353
108007,way find countries instagram followers ?,upload pictures pc instagram ?,0,0.0,0.0,26,0.8888888888888888
108008,many cases rape go reported & unreported india ?,know whether case reported unreported indian courts ?,0,0.03089858311251766,0.0,25,0.8
108009,biggest weight loss challenge ?,biggest weight loss problem ?,1,0.0,0.0,7,0.8
108010,one thing start lose weight ?,best ways lose weight ?,0,0.0,0.0,11,0.8571428571428571
108011,"hotel auli hill-station would safe unmarried couples , without harassment police , hotel staff , moral police ?","hotel biligiri hills hill-station would safe unmarried couples , without harassment police , hotel staff , moral police ?",0,0.0,0.0,12,0.9545454545454546
108012,trust apple google information ?,trust apple storing data icloud ?,1,0.0,0.0,16,0.875
108013,get mods gta v xbox one ?,get police mod gta 4 ?,0,0.0,0.0,16,0.6428571428571429
108014,get english subtitles kaththi hd ( flv ) print ?,get english subtitles oopiri ?,0,0.0,0.0,21,0.7777777777777778
108015,agile approach applicable data science projects ?,document data science project ?,0,0.0,0.0,24,0.8235294117647058
108016,kate middleton upper class ?,"periyar belonged upper class , come fought upper class ?",0,0.0,0.0,36,0.8205128205128205
108017,get funding investors business idea ?,get tell investors startup idea ?,1,0.0,0.0,15,0.875
108018,'m electronics communication engineering . final year project ?,special project take final year project engineering `` electronics communication ?,0,0.14586037879546004,0.0714285714285714,56,0.9047619047619048
108019,save failing relationship girlfriend ?,save failing relationship boyfriend ?,0,0.0,0.0,4,0.9444444444444444
108020,long take make responsive website around 500 pages ?,"want create website responsive layout dynamic pages like products page want update list/images products time time , contact form page . n't want use wordpress similar template . js library help ?",0,0.04903020655843817,0.0,158,0.7843137254901961
108021,improve english aspects ?,improve english short time ?,1,0.0,0.0,9,0.9375
108022,make face thinner ?,make face thinner ?,1,0.0,0.0,0,1.0
108023,would n't invest quora ?,would invest quora ?,0,0.0,0.0,4,0.9696969696969697
108024,best books control system indian author ?,best cooking books indian author ?,0,0.0,0.0,15,0.8888888888888888
108025,`` heliocentric geocentric systems '' ?,heliocentric geocentric theories ?,1,0.0,0.0,12,0.8666666666666667
108026,plea bargaining : pleading guilty considered convicted ?,plead guilty get two driving tickets ?,0,0.0,0.0,39,0.9
108027,true cancer disease business ?,true cancer disease business ?,1,0.0,0.0,0,1.0
108028,underbelly music industry ?,entertainment born . ?,0,0.0,0.0,20,0.6666666666666666
108029,big game studios uses unity3d ?,use proguard reduce number apis unity3d game ?,0,0.0,0.0,28,0.9142857142857143
108030,quora started become boring monotonous ?,stop becoming bored meditating ?,0,0.0,0.0,25,0.9090909090909091
108031,divisible ? rules examples please… ?,divisible ? rules examples ?,1,0.0,0.0,8,0.967741935483871
108032,normal black person blue ring around brown eyes ?,normal blue ring around eyes ?,0,0.0,0.0,19,0.8888888888888888
108033,control anxiety worries ?,control anxiety ?,1,0.0,0.0,8,0.9285714285714286
108034,get rid electoral college ?,get rid electoral college ?,1,0.0,0.0,0,1.0
108035,exciting places see greece tourist ? ?,exciting places see italy tourist ? ?,0,0.0,0.0,6,0.9696969696969697
108036,"atom exists state , solid , liquid , gas , plasma , bec ?","atom solid , liquid gas ? none ?",0,0.0,0.0,29,0.8571428571428571
108037,relationship deserve second chance ?,know someone deserves second chance cheating ? feel better want stay relationship ?,0,0.0,0.0,58,0.8205128205128205
